"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1488","authenticate","setup","Wed Apr 29 09:37:13 UTC 2026","passed","Wed Apr 29 09:37:14 UTC 2026","","auth.setup.ts","",""
"","685","Login succes and data correct","mobile-android","Wed Apr 29 09:38:24 UTC 2026","passed","Wed Apr 29 09:38:24 UTC 2026","","login.spec.ts","",""
"","1851","remove 1 item from add 1 success","firefox","Wed Apr 29 09:37:26 UTC 2026","passed","Wed Apr 29 09:37:28 UTC 2026","","cart.spec.ts","",""
"","1296","check out success","firefox","Wed Apr 29 09:37:30 UTC 2026","passed","Wed Apr 29 09:37:32 UTC 2026","","checkout.spec.ts","",""
"","1923","remove 4 item from 4 cart success","firefox","Wed Apr 29 09:37:28 UTC 2026","passed","Wed Apr 29 09:37:30 UTC 2026","","cart.spec.ts","",""
"","372","should fetch product list successfully","chromium","Wed Apr 29 09:37:16 UTC 2026","passed","Wed Apr 29 09:37:16 UTC 2026","API Testing","api-tests.spec.ts","",""
"","739","add item once success","mobile-android","Wed Apr 29 09:38:22 UTC 2026","passed","Wed Apr 29 09:38:23 UTC 2026","","inventory.spec.ts","",""
"","686","Login succes and data correct","chromium","Wed Apr 29 09:37:23 UTC 2026","passed","Wed Apr 29 09:37:23 UTC 2026","","login.spec.ts","",""
"","1137","remove 4 item from 4 cart success","mobile-android","Wed Apr 29 09:38:19 UTC 2026","passed","Wed Apr 29 09:38:20 UTC 2026","","cart.spec.ts","",""
"","937","Login fail and data loked","firefox","Wed Apr 29 09:37:38 UTC 2026","passed","Wed Apr 29 09:37:39 UTC 2026","","login.spec.ts","",""
"","1370","Login succes and data correct","webkit","Wed Apr 29 09:37:57 UTC 2026","passed","Wed Apr 29 09:37:58 UTC 2026","","login.spec.ts","",""
"","841","has title","firefox","Wed Apr 29 09:37:32 UTC 2026","passed","Wed Apr 29 09:37:32 UTC 2026","","example.spec.ts","",""
"","354","should fetch product list successfully","mobile-android","Wed Apr 29 09:38:17 UTC 2026","passed","Wed Apr 29 09:38:18 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1103","add item once success","firefox","Wed Apr 29 09:37:34 UTC 2026","passed","Wed Apr 29 09:37:35 UTC 2026","","inventory.spec.ts","",""
"","1692","add multiple items success","mobile-safari","Wed Apr 29 09:38:12 UTC 2026","passed","Wed Apr 29 09:38:13 UTC 2026","","inventory.spec.ts","",""
"","1420","add item once success","webkit","Wed Apr 29 09:37:54 UTC 2026","passed","Wed Apr 29 09:37:55 UTC 2026","","inventory.spec.ts","",""
"","1280","has title","webkit","Wed Apr 29 09:37:50 UTC 2026","passed","Wed Apr 29 09:37:51 UTC 2026","","example.spec.ts","",""
"","318","Should return 404","firefox","Wed Apr 29 09:37:26 UTC 2026","passed","Wed Apr 29 09:37:26 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1121","Login succes and data correct","mobile-safari","Wed Apr 29 09:38:13 UTC 2026","passed","Wed Apr 29 09:38:14 UTC 2026","","login.spec.ts","",""
"","354","should fetch product list successfully","webkit","Wed Apr 29 09:37:41 UTC 2026","passed","Wed Apr 29 09:37:41 UTC 2026","API Testing","api-tests.spec.ts","",""
"","645","Login fail and data incorrect","chromium","Wed Apr 29 09:37:23 UTC 2026","passed","Wed Apr 29 09:37:24 UTC 2026","","login.spec.ts","",""
"","633","Login fail and data incorrect","mobile-android","Wed Apr 29 09:38:25 UTC 2026","passed","Wed Apr 29 09:38:25 UTC 2026","","login.spec.ts","",""
"","1130","Login fail and data incorrect","webkit","Wed Apr 29 09:37:58 UTC 2026","passed","Wed Apr 29 09:37:59 UTC 2026","","login.spec.ts","",""
"","717","get started link","chromium","Wed Apr 29 09:37:20 UTC 2026","passed","Wed Apr 29 09:37:21 UTC 2026","","example.spec.ts","",""
