"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1054","Login fail and data loked","webkit","Wed Apr 29 06:06:44 UTC 2026","passed","Wed Apr 29 06:06:45 UTC 2026","","login.spec.ts","",""
"","854","remove 4 item from 4 cart success","chromium","Wed Apr 29 06:06:05 UTC 2026","passed","Wed Apr 29 06:06:06 UTC 2026","","cart.spec.ts","",""
"","641","Login succes and data correct","chromium","Wed Apr 29 06:06:09 UTC 2026","passed","Wed Apr 29 06:06:10 UTC 2026","","login.spec.ts","",""
"","1330","has title","webkit","Wed Apr 29 06:06:35 UTC 2026","passed","Wed Apr 29 06:06:36 UTC 2026","","example.spec.ts","",""
"","357","should fetch product list successfully","firefox","Wed Apr 29 06:06:12 UTC 2026","passed","Wed Apr 29 06:06:12 UTC 2026","API Testing","api-tests.spec.ts","",""
"","397","should fetch product list successfully","chromium","Wed Apr 29 06:06:03 UTC 2026","passed","Wed Apr 29 06:06:04 UTC 2026","API Testing","api-tests.spec.ts","",""
"","937","Login succes and data correct","firefox","Wed Apr 29 06:06:22 UTC 2026","passed","Wed Apr 29 06:06:23 UTC 2026","","login.spec.ts","",""
"","786","check out success","chromium","Wed Apr 29 06:06:06 UTC 2026","passed","Wed Apr 29 06:06:07 UTC 2026","","checkout.spec.ts","",""
"","367","Should return 404","chromium","Wed Apr 29 06:06:04 UTC 2026","passed","Wed Apr 29 06:06:04 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1826","get started link","webkit","Wed Apr 29 06:06:36 UTC 2026","passed","Wed Apr 29 06:06:38 UTC 2026","","example.spec.ts","",""
"","671","add multiple items success","chromium","Wed Apr 29 06:06:09 UTC 2026","passed","Wed Apr 29 06:06:09 UTC 2026","","inventory.spec.ts","",""
"","320","Should return 404","webkit","Wed Apr 29 06:06:26 UTC 2026","passed","Wed Apr 29 06:06:26 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1404","add item once success","webkit","Wed Apr 29 06:06:38 UTC 2026","passed","Wed Apr 29 06:06:40 UTC 2026","","inventory.spec.ts","",""
"","762","get started link","chromium","Wed Apr 29 06:06:07 UTC 2026","passed","Wed Apr 29 06:06:08 UTC 2026","","example.spec.ts","",""
"","1521","add multiple items success","webkit","Wed Apr 29 06:06:40 UTC 2026","passed","Wed Apr 29 06:06:41 UTC 2026","","inventory.spec.ts","",""
"","584","has title","chromium","Wed Apr 29 06:06:07 UTC 2026","passed","Wed Apr 29 06:06:07 UTC 2026","","example.spec.ts","",""
"","1296","Login succes and data correct","webkit","Wed Apr 29 06:06:41 UTC 2026","passed","Wed Apr 29 06:06:42 UTC 2026","","login.spec.ts","",""
