"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1181","add multiple items success","firefox","Tue May 05 01:26:28 UTC 2026","passed","Tue May 05 01:26:29 UTC 2026","","inventory.spec.ts","",""
"","332","Should return 404","firefox","Tue May 05 01:26:19 UTC 2026","passed","Tue May 05 01:26:20 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1239","remove 1 item from add 1 success","mobile-safari","Tue May 05 01:26:52 UTC 2026","passed","Tue May 05 01:26:53 UTC 2026","","cart.spec.ts","",""
"","1195","check out success","firefox","Tue May 05 01:26:24 UTC 2026","passed","Tue May 05 01:26:25 UTC 2026","","checkout.spec.ts","",""
"","395","has title","chromium","Tue May 05 01:26:15 UTC 2026","passed","Tue May 05 01:26:15 UTC 2026","","example.spec.ts","",""
"","711","add multiple items success","mobile-android","Tue May 05 01:27:14 UTC 2026","passed","Tue May 05 01:27:14 UTC 2026","","inventory.spec.ts","",""
"","1220","Login succes and data correct","webkit","Tue May 05 01:26:47 UTC 2026","passed","Tue May 05 01:26:48 UTC 2026","","login.spec.ts","",""
"","977","Login fail and data loked","mobile-safari","Tue May 05 01:27:07 UTC 2026","passed","Tue May 05 01:27:08 UTC 2026","","login.spec.ts","",""
"","359","should fetch product list successfully","firefox","Tue May 05 01:26:19 UTC 2026","passed","Tue May 05 01:26:19 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1054","Login fail and data loked","webkit","Tue May 05 01:26:49 UTC 2026","passed","Tue May 05 01:26:50 UTC 2026","","login.spec.ts","",""
"","549","Login fail and data loked","mobile-android","Tue May 05 01:27:17 UTC 2026","passed","Tue May 05 01:27:17 UTC 2026","","login.spec.ts","",""
"","501","Login fail and data incorrect","mobile-android","Tue May 05 01:27:16 UTC 2026","passed","Tue May 05 01:27:17 UTC 2026","","login.spec.ts","",""
"","640","get started link","mobile-android","Tue May 05 01:27:12 UTC 2026","passed","Tue May 05 01:27:13 UTC 2026","","example.spec.ts","",""
"","925","remove 1 item from add 1 success","chromium","Tue May 05 01:26:12 UTC 2026","passed","Tue May 05 01:26:13 UTC 2026","","cart.spec.ts","",""
