"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","597","Login succes and data correct","mobile-android","Thu Apr 30 06:56:09 UTC 2026","passed","Thu Apr 30 06:56:09 UTC 2026","","login.spec.ts","",""
"","618","remove 1 item from add 1 success","chromium","Thu Apr 30 06:55:09 UTC 2026","passed","Thu Apr 30 06:55:10 UTC 2026","","cart.spec.ts","",""
"","322","Should return 404","firefox","Thu Apr 30 06:55:17 UTC 2026","passed","Thu Apr 30 06:55:17 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1573","check out success","webkit","Thu Apr 30 06:55:36 UTC 2026","passed","Thu Apr 30 06:55:37 UTC 2026","","checkout.spec.ts","",""
"","734","add multiple items success","mobile-android","Thu Apr 30 06:56:08 UTC 2026","passed","Thu Apr 30 06:56:09 UTC 2026","","inventory.spec.ts","",""
"","614","remove 1 item from add 1 success","mobile-android","Thu Apr 30 06:56:04 UTC 2026","passed","Thu Apr 30 06:56:04 UTC 2026","","cart.spec.ts","",""
"","1011","remove 4 item from 4 cart success","chromium","Thu Apr 30 06:55:10 UTC 2026","passed","Thu Apr 30 06:55:11 UTC 2026","","cart.spec.ts","",""
"","520","Login fail and data loked","mobile-android","Thu Apr 30 06:56:10 UTC 2026","passed","Thu Apr 30 06:56:11 UTC 2026","","login.spec.ts","",""
"","1532","add multiple items success","mobile-safari","Thu Apr 30 06:55:58 UTC 2026","passed","Thu Apr 30 06:55:59 UTC 2026","","inventory.spec.ts","",""
"","479","Login succes and data correct","chromium","Thu Apr 30 06:55:14 UTC 2026","passed","Thu Apr 30 06:55:15 UTC 2026","","login.spec.ts","",""
"","1392","add multiple items success","firefox","Thu Apr 30 06:55:25 UTC 2026","passed","Thu Apr 30 06:55:26 UTC 2026","","inventory.spec.ts","",""
"","997","Login fail and data loked","mobile-safari","Thu Apr 30 06:56:01 UTC 2026","passed","Thu Apr 30 06:56:02 UTC 2026","","login.spec.ts","",""
"","365","should fetch product list successfully","chromium","Thu Apr 30 06:55:09 UTC 2026","passed","Thu Apr 30 06:55:09 UTC 2026","API Testing","api-tests.spec.ts","",""
"","361","should fetch product list successfully","webkit","Thu Apr 30 06:55:30 UTC 2026","passed","Thu Apr 30 06:55:31 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1543","add multiple items success","webkit","Thu Apr 30 06:55:42 UTC 2026","passed","Thu Apr 30 06:55:44 UTC 2026","","inventory.spec.ts","",""
"","1095","Login succes and data correct","mobile-safari","Thu Apr 30 06:55:59 UTC 2026","passed","Thu Apr 30 06:56:00 UTC 2026","","login.spec.ts","",""
"","662","add multiple items success","chromium","Thu Apr 30 06:55:13 UTC 2026","passed","Thu Apr 30 06:55:14 UTC 2026","","inventory.spec.ts","",""
"","1069","remove 4 item from 4 cart success","mobile-android","Thu Apr 30 06:56:04 UTC 2026","passed","Thu Apr 30 06:56:05 UTC 2026","","cart.spec.ts","",""
"","1230","Login succes and data correct","webkit","Thu Apr 30 06:55:44 UTC 2026","passed","Thu Apr 30 06:55:45 UTC 2026","","login.spec.ts","",""
"","321","Should return 404","webkit","Thu Apr 30 06:55:31 UTC 2026","passed","Thu Apr 30 06:55:31 UTC 2026","API Testing","api-tests.spec.ts","",""
"","471","Login fail and data loked","chromium","Thu Apr 30 06:55:15 UTC 2026","passed","Thu Apr 30 06:55:16 UTC 2026","","login.spec.ts","",""
"","383","Should return 404","chromium","Thu Apr 30 06:55:09 UTC 2026","passed","Thu Apr 30 06:55:09 UTC 2026","API Testing","api-tests.spec.ts","",""
"","443","Login fail and data incorrect","chromium","Thu Apr 30 06:55:15 UTC 2026","passed","Thu Apr 30 06:55:15 UTC 2026","","login.spec.ts","",""
"","548","Login fail and data incorrect","mobile-android","Thu Apr 30 06:56:09 UTC 2026","passed","Thu Apr 30 06:56:10 UTC 2026","","login.spec.ts","",""
"","360","should fetch product list successfully","firefox","Thu Apr 30 06:55:16 UTC 2026","passed","Thu Apr 30 06:55:17 UTC 2026","API Testing","api-tests.spec.ts","",""
"","2518","get started link","webkit","Thu Apr 30 06:55:38 UTC 2026","passed","Thu Apr 30 06:55:41 UTC 2026","","example.spec.ts","",""
"","971","Login fail and data incorrect","mobile-safari","Thu Apr 30 06:56:00 UTC 2026","passed","Thu Apr 30 06:56:01 UTC 2026","","login.spec.ts","",""
"","1105","get started link","firefox","Thu Apr 30 06:55:23 UTC 2026","passed","Thu Apr 30 06:55:24 UTC 2026","","example.spec.ts","",""
"","1913","remove 4 item from 4 cart success","webkit","Thu Apr 30 06:55:34 UTC 2026","passed","Thu Apr 30 06:55:36 UTC 2026","","cart.spec.ts","",""
"","950","Login succes and data correct","firefox","Thu Apr 30 06:55:26 UTC 2026","passed","Thu Apr 30 06:55:27 UTC 2026","","login.spec.ts","",""
"","356","should fetch product list successfully","mobile-android","Thu Apr 30 06:56:03 UTC 2026","passed","Thu Apr 30 06:56:03 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1241","check out success","firefox","Thu Apr 30 06:55:21 UTC 2026","passed","Thu Apr 30 06:55:22 UTC 2026","","checkout.spec.ts","",""
"","934","has title","mobile-safari","Thu Apr 30 06:55:54 UTC 2026","passed","Thu Apr 30 06:55:55 UTC 2026","","example.spec.ts","",""
"","1274","authenticate","setup","Thu Apr 30 06:55:07 UTC 2026","passed","Thu Apr 30 06:55:08 UTC 2026","","auth.setup.ts","",""
"","581","get started link","chromium","Thu Apr 30 06:55:12 UTC 2026","passed","Thu Apr 30 06:55:13 UTC 2026","","example.spec.ts","",""
"","2074","remove 4 item from 4 cart success","mobile-safari","Thu Apr 30 06:55:50 UTC 2026","passed","Thu Apr 30 06:55:52 UTC 2026","","cart.spec.ts","",""
"","1665","get started link","mobile-safari","Thu Apr 30 06:55:55 UTC 2026","passed","Thu Apr 30 06:55:56 UTC 2026","","example.spec.ts","",""
"","1231","add item once success","mobile-safari","Thu Apr 30 06:55:56 UTC 2026","passed","Thu Apr 30 06:55:57 UTC 2026","","inventory.spec.ts","",""
"","321","Should return 404","mobile-safari","Thu Apr 30 06:55:48 UTC 2026","passed","Thu Apr 30 06:55:49 UTC 2026","API Testing","api-tests.spec.ts","",""
"","360","should fetch product list successfully","mobile-safari","Thu Apr 30 06:55:48 UTC 2026","passed","Thu Apr 30 06:55:48 UTC 2026","API Testing","api-tests.spec.ts","",""
"","627","get started link","mobile-android","Thu Apr 30 06:56:07 UTC 2026","passed","Thu Apr 30 06:56:07 UTC 2026","","example.spec.ts","",""
"","737","has title","firefox","Thu Apr 30 06:55:22 UTC 2026","passed","Thu Apr 30 06:55:23 UTC 2026","","example.spec.ts","",""
"","1089","Login fail and data incorrect","webkit","Thu Apr 30 06:55:45 UTC 2026","passed","Thu Apr 30 06:55:46 UTC 2026","","login.spec.ts","",""
"","385","has title","chromium","Thu Apr 30 06:55:12 UTC 2026","passed","Thu Apr 30 06:55:12 UTC 2026","","example.spec.ts","",""
"","845","Login fail and data loked","firefox","Thu Apr 30 06:55:28 UTC 2026","passed","Thu Apr 30 06:55:29 UTC 2026","","login.spec.ts","",""
"","1491","check out success","mobile-safari","Thu Apr 30 06:55:52 UTC 2026","passed","Thu Apr 30 06:55:54 UTC 2026","","checkout.spec.ts","",""
"","1904","remove 1 item from add 1 success","firefox","Thu Apr 30 06:55:17 UTC 2026","passed","Thu Apr 30 06:55:19 UTC 2026","","cart.spec.ts","",""
"","320","Should return 404","mobile-android","Thu Apr 30 06:56:03 UTC 2026","passed","Thu Apr 30 06:56:04 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1049","Login fail and data loked","webkit","Thu Apr 30 06:55:46 UTC 2026","passed","Thu Apr 30 06:55:47 UTC 2026","","login.spec.ts","",""
"","608","add item once success","mobile-android","Thu Apr 30 06:56:07 UTC 2026","passed","Thu Apr 30 06:56:08 UTC 2026","","inventory.spec.ts","",""
"","1138","has title","webkit","Thu Apr 30 06:55:37 UTC 2026","passed","Thu Apr 30 06:55:38 UTC 2026","","example.spec.ts","",""
"","2058","remove 1 item from add 1 success","webkit","Thu Apr 30 06:55:31 UTC 2026","passed","Thu Apr 30 06:55:33 UTC 2026","","cart.spec.ts","",""
"","1271","add item once success","webkit","Thu Apr 30 06:55:41 UTC 2026","passed","Thu Apr 30 06:55:42 UTC 2026","","inventory.spec.ts","",""
"","1261","remove 1 item from add 1 success","mobile-safari","Thu Apr 30 06:55:49 UTC 2026","passed","Thu Apr 30 06:55:50 UTC 2026","","cart.spec.ts","",""
