"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","get started link","mobile-safari","Wed Apr 29 10:20:56 UTC 2026","failed","Wed Apr 29 10:20:56 UTC 2026","","example.spec.ts","",""
"","1253","check out success","firefox","Wed Apr 29 10:20:19 UTC 2026","passed","Wed Apr 29 10:20:20 UTC 2026","","checkout.spec.ts","",""
"","2","Login succes and data correct","mobile-safari","Wed Apr 29 10:21:02 UTC 2026","failed","Wed Apr 29 10:21:02 UTC 2026","","login.spec.ts","",""
"","691","remove 1 item from add 1 success","mobile-android","Wed Apr 29 10:21:07 UTC 2026","passed","Wed Apr 29 10:21:07 UTC 2026","","cart.spec.ts","",""
"","566","Login fail and data loked","mobile-android","Wed Apr 29 10:21:14 UTC 2026","passed","Wed Apr 29 10:21:14 UTC 2026","","login.spec.ts","",""
"","2","add item once success","mobile-safari","Wed Apr 29 10:20:58 UTC 2026","failed","Wed Apr 29 10:20:58 UTC 2026","","inventory.spec.ts","",""
"","340","Should return 404","mobile-android","Wed Apr 29 10:21:06 UTC 2026","passed","Wed Apr 29 10:21:07 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1236","Login succes and data correct","webkit","Wed Apr 29 10:20:42 UTC 2026","passed","Wed Apr 29 10:20:43 UTC 2026","","login.spec.ts","",""
"","576","Login fail and data incorrect","mobile-android","Wed Apr 29 10:21:13 UTC 2026","passed","Wed Apr 29 10:21:14 UTC 2026","","login.spec.ts","",""
"","1218","add multiple items success","firefox","Wed Apr 29 10:20:23 UTC 2026","passed","Wed Apr 29 10:20:25 UTC 2026","","inventory.spec.ts","",""
"","1526","remove 4 item from 4 cart success","firefox","Wed Apr 29 10:20:18 UTC 2026","passed","Wed Apr 29 10:20:19 UTC 2026","","cart.spec.ts","",""
"","1299","add item once success","webkit","Wed Apr 29 10:20:39 UTC 2026","passed","Wed Apr 29 10:20:40 UTC 2026","","inventory.spec.ts","",""
"","769","remove 1 item from add 1 success","chromium","Wed Apr 29 10:20:07 UTC 2026","passed","Wed Apr 29 10:20:08 UTC 2026","","cart.spec.ts","",""
"","374","should fetch product list successfully","mobile-safari","Wed Apr 29 10:20:46 UTC 2026","passed","Wed Apr 29 10:20:46 UTC 2026","API Testing","api-tests.spec.ts","",""
"","897","Login succes and data correct","firefox","Wed Apr 29 10:20:25 UTC 2026","passed","Wed Apr 29 10:20:26 UTC 2026","","login.spec.ts","",""
"","448","should fetch product list successfully","chromium","Wed Apr 29 10:20:06 UTC 2026","passed","Wed Apr 29 10:20:07 UTC 2026","API Testing","api-tests.spec.ts","",""
"","624","Login succes and data correct","mobile-android","Wed Apr 29 10:21:12 UTC 2026","passed","Wed Apr 29 10:21:13 UTC 2026","","login.spec.ts","",""
"","372","should fetch product list successfully","firefox","Wed Apr 29 10:20:15 UTC 2026","passed","Wed Apr 29 10:20:15 UTC 2026","API Testing","api-tests.spec.ts","",""
"","340","Should return 404","mobile-safari","Wed Apr 29 10:20:46 UTC 2026","passed","Wed Apr 29 10:20:47 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1513","add multiple items success","webkit","Wed Apr 29 10:20:41 UTC 2026","passed","Wed Apr 29 10:20:42 UTC 2026","","inventory.spec.ts","",""
"","744","has title","firefox","Wed Apr 29 10:20:20 UTC 2026","passed","Wed Apr 29 10:20:21 UTC 2026","","example.spec.ts","",""
"","1974","remove 4 item from 4 cart success","webkit","Wed Apr 29 10:20:33 UTC 2026","passed","Wed Apr 29 10:20:35 UTC 2026","","cart.spec.ts","",""
"","1125","has title","webkit","Wed Apr 29 10:20:36 UTC 2026","passed","Wed Apr 29 10:20:37 UTC 2026","","example.spec.ts","",""
"","1667","get started link","webkit","Wed Apr 29 10:20:38 UTC 2026","passed","Wed Apr 29 10:20:39 UTC 2026","","example.spec.ts","",""
"","466","Should return 404","chromium","Wed Apr 29 10:20:07 UTC 2026","passed","Wed Apr 29 10:20:07 UTC 2026","API Testing","api-tests.spec.ts","",""
"","378","should fetch product list successfully","mobile-android","Wed Apr 29 10:21:06 UTC 2026","passed","Wed Apr 29 10:21:06 UTC 2026","API Testing","api-tests.spec.ts","",""
"","842","Login fail and data loked","firefox","Wed Apr 29 10:20:26 UTC 2026","passed","Wed Apr 29 10:20:27 UTC 2026","","login.spec.ts","",""
"","1066","remove 4 item from 4 cart success","chromium","Wed Apr 29 10:20:08 UTC 2026","passed","Wed Apr 29 10:20:09 UTC 2026","","cart.spec.ts","",""
"","1799","remove 1 item from add 1 success","firefox","Wed Apr 29 10:20:15 UTC 2026","passed","Wed Apr 29 10:20:17 UTC 2026","","cart.spec.ts","",""
"","1074","get started link","firefox","Wed Apr 29 10:20:21 UTC 2026","passed","Wed Apr 29 10:20:22 UTC 2026","","example.spec.ts","",""
"","1430","authenticate","setup","Wed Apr 29 10:20:04 UTC 2026","passed","Wed Apr 29 10:20:06 UTC 2026","","auth.setup.ts","",""
"","800","add multiple items success","mobile-android","Wed Apr 29 10:21:12 UTC 2026","passed","Wed Apr 29 10:21:12 UTC 2026","","inventory.spec.ts","",""
"","2","Login fail and data incorrect","mobile-safari","Wed Apr 29 10:21:03 UTC 2026","failed","Wed Apr 29 10:21:03 UTC 2026","","login.spec.ts","",""
"","628","get started link","mobile-android","Wed Apr 29 10:21:10 UTC 2026","passed","Wed Apr 29 10:21:11 UTC 2026","","example.spec.ts","",""
"","1504","check out success","webkit","Wed Apr 29 10:20:35 UTC 2026","passed","Wed Apr 29 10:20:36 UTC 2026","","checkout.spec.ts","",""
